network,source,target,similarity,source_n_speeches,target_n_speeches,default_visible
ai_topics,Donald Trump,John Quincy Adams,0.39769572224025024,53,8,True
ai_topics,Donald Trump,John Tyler,0.2427768960235483,53,18,True
ai_topics,Donald Trump,Lyndon B. Johnson,0.45453666581400676,53,71,True
ai_topics,Donald Trump,Martin Van Buren,0.18700250187833922,53,10,True
ai_topics,Donald Trump,Millard Fillmore,0.3647444788286951,53,7,True
ai_topics,Donald Trump,Richard M. Nixon,0.5246930745518154,53,23,True
ai_topics,Donald Trump,Ronald Reagan,0.704412997850129,53,60,True
ai_topics,Donald Trump,Rutherford B. Hayes,0.31270139969662414,53,16,True
ai_topics,Donald Trump,Theodore Roosevelt,0.4286336761256028,53,22,True
ai_topics,Donald Trump,Thomas Jefferson,0.3561602937404251,53,24,True
ai_topics,Donald Trump,Ulysses S. Grant,0.3466154851922552,53,32,True
ai_topics,Donald Trump,Warren G. Harding,0.4911454744037908,53,18,True
ai_topics,Donald Trump,William Harrison,0.2270611191239796,53,1,False
ai_topics,Donald Trump,William McKinley,0.30650904321131917,53,14,True
ai_topics,Donald Trump,William Taft,0.34581793469645444,53,12,True
ai_topics,Donald Trump,Woodrow Wilson,0.4107799972954221,53,33,True
ai_topics,Donald Trump,Zachary Taylor,0.2637612364296111,53,4,False
