boundary_year,score_4,rank_4,percentile_4,score_8,rank_8,percentile_8,consensus,consensus_rank
1986,5.42898943484124,210,0.09130434782608698,4.3492817111981115,218,0.022522522522522515,0.05691343517430475,214
1987,6.299815121643487,177,0.23478260869565215,4.752712198622834,209,0.06306306306306309,0.14892283587935762,198
1988,7.084773249032995,148,0.36086956521739133,4.9223050630114455,203,0.09009009009009006,0.2254798276537407,175
1989,5.639087034627776,203,0.12173913043478257,5.226743326693113,197,0.11711711711711714,0.11942812377594986,208
1990,6.026745613246712,188,0.18695652173913047,5.820724940130854,171,0.23423423423423428,0.21059537798668237,178
1991,5.674360103636705,201,0.13043478260869568,5.906684402417822,166,0.2567567567567568,0.19359576968272624,186
1992,5.940302815420609,192,0.16956521739130437,6.078120385226055,158,0.2927927927927928,0.23117900509204858,173
1993,6.475608983575037,169,0.26956521739130435,5.843648563336699,170,0.23873873873873874,0.25415197806502154,167
1994,6.596337747373312,166,0.28260869565217395,5.255652395049769,195,0.12612612612612617,0.20436741088915006,182
1995,5.797568913642475,195,0.15652173913043477,4.692116360274851,211,0.05405405405405406,0.10528789659224441,211
1996,5.058060261534786,217,0.060869565217391286,4.4496797426319015,217,0.027027027027026973,0.04394829612220913,216
1997,7.873963454004168,124,0.4652173913043478,7.210302021745322,111,0.5045045045045045,0.48486094790442613,111
1998,7.321144076162496,140,0.3956521739130435,7.405305029732536,100,0.5540540540540541,0.4748531139835488,114
1999,8.430410210442286,106,0.5434782608695652,8.276072195806147,54,0.7612612612612613,0.6523697610654132,76
2000,10.320096814462591,47,0.8,8.684401246535826,39,0.8288288288288288,0.8144144144144144,37
2001,10.516924223103485,38,0.8391304347826087,8.709763123188214,38,0.8333333333333334,0.836231884057971,28
2002,7.968458807147945,121,0.4782608695652174,7.710049979661281,83,0.6306306306306306,0.5544457500979241,103
2003,4.884463551689861,223,0.034782608695652195,6.315309966140605,149,0.33333333333333337,0.18405797101449278,190
2004,4.98252947955296,220,0.047826086956521685,5.617926391106967,180,0.1936936936936937,0.1207598903251077,206
2005,6.004344816917041,191,0.17391304347826086,6.388084527502269,147,0.3423423423423423,0.2581276929103016,166
2006,6.1785134033040165,182,0.21304347826086956,6.929162880208314,120,0.463963963963964,0.3385037211124168,145
2007,8.369209709913575,108,0.5347826086956522,7.601709677930902,91,0.5945945945945945,0.5646886016451234,100
2008,7.903941046502919,122,0.4739130434782609,8.07264370088489,67,0.7027027027027026,0.5883078730904818,93
2009,7.510038673510895,135,0.4173913043478261,8.338840538999657,52,0.7702702702702703,0.5938307873090483,92
2010,6.756829639847165,163,0.29565217391304344,7.6200386454644615,88,0.6081081081081081,0.4518801410105758,120
2011,5.7772071207743725,197,0.14782608695652177,6.703134868696448,130,0.41891891891891897,0.28337250293772037,160
2012,6.836235019632472,158,0.31739130434782614,6.791577538306069,127,0.43243243243243246,0.3749118683901293,138
2013,6.318388357879528,175,0.24347826086956526,8.753812797536854,35,0.8468468468468469,0.5451625538582061,105
2014,7.269263047198546,142,0.3869565217391304,8.138668135117083,59,0.7387387387387387,0.5628476302389346,101
2015,6.79054616877768,159,0.31304347826086953,7.835140232617421,77,0.6576576576576576,0.48535056795926357,110
2016,9.650423863873698,72,0.691304347826087,7.793803659698955,79,0.6486486486486487,0.6699764982373678,68
2017,11.663081096994407,20,0.9173913043478261,7.872594757631562,75,0.6666666666666667,0.7920289855072464,41
2018,11.426250437028012,23,0.9043478260869565,8.204513128000539,56,0.7522522522522522,0.8283000391696044,30
2019,8.977727561957144,90,0.6130434782608696,7.5757709463709935,92,0.5900900900900901,0.6015667841754798,88
