condition,label,analysis_family,k,min_units,grid_offset,weighting,terminal_policy,genre_filter,omitted_axis_group,status,status_reason,segment_index,segment_start,segment_end,is_boundary,objective,objective_scale,partition_similarity_to_primary,partition_starts_json,n_axes,n_cycles,n_paragraphs,n_speeches,terminal_cycle_complete,right_censored
minimum_4_cycles,Minimum four cycle units,minimum_duration,9,4,0,per_axis,include_incomplete,all,none,computed,,7,1981.0,2012.0,True,1749.0755509079606,z_sse_per_axis,0.97329734223201,"[1789,1805,1849,1869,1913,1937,1953,1981,2013]",63,8,6359,189,False,False
minimum_4_cycles,Minimum four cycle units,minimum_duration,9,4,0,per_axis,include_incomplete,all,none,computed,,8,2013.0,2026.0,True,1749.0755509079606,z_sse_per_axis,0.97329734223201,"[1789,1805,1849,1869,1913,1937,1953,1981,2013]",63,4,4819,100,False,True
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,0,1790.0,1809.0,False,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,5,692,54,False,False
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,1,1810.0,1849.0,True,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,10,3929,119,False,False
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,2,1850.0,1869.0,True,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,5,3047,89,False,False
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,3,1870.0,1913.0,True,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,11,7037,157,False,False
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,4,1914.0,1937.0,True,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,6,2440,103,False,False
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,5,1938.0,1953.0,True,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,4,1235,57,False,False
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,6,1954.0,1981.0,True,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,7,6966,197,False,False
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,7,1982.0,2017.0,True,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,9,7039,204,False,False
grid_offset_1,Cycle grid +1 year,grid_anchor,9,3,1,per_axis,include_incomplete,all,none,computed,,8,2018.0,2026.0,True,1656.369009208902,z_sse_per_axis,0.8974429998406309,"[1790,1810,1850,1870,1914,1938,1954,1982,2018]",63,3,3830,75,False,True
grid_offset_2,Cycle grid +2 years,grid_anchor,9,3,2,per_axis,include_incomplete,all,none,computed,,0,1791.0,1806.0,False,1634.250030135651,z_sse_per_axis,0.8671931883474596,"[1791,1807,1851,1871,1915,1939,1951,1979,2015]",63,4,558,43,True,False
grid_offset_2,Cycle grid +2 years,grid_anchor,9,3,2,per_axis,include_incomplete,all,none,computed,,1,1807.0,1850.0,True,1634.250030135651,z_sse_per_axis,0.8671931883474596,"[1791,1807,1851,1871,1915,1939,1951,1979,2015]",63,11,4135,133,True,False
grid_offset_2,Cycle grid +2 years,grid_anchor,9,3,2,per_axis,include_incomplete,all,none,computed,,2,1851.0,1870.0,True,1634.250030135651,z_sse_per_axis,0.8671931883474596,"[1791,1807,1851,1871,1915,1939,1951,1979,2015]",63,5,3096,90,True,False
grid_offset_2,Cycle grid +2 years,grid_anchor,9,3,2,per_axis,include_incomplete,all,none,computed,,3,1871.0,1914.0,True,1634.250030135651,z_sse_per_axis,0.8671931883474596,"[1791,1807,1851,1871,1915,1939,1951,1979,2015]",63,11,6988,157,True,False
grid_offset_2,Cycle grid +2 years,grid_anchor,9,3,2,per_axis,include_incomplete,all,none,computed,,4,1915.0,1938.0,True,1634.250030135651,z_sse_per_axis,0.8671931883474596,"[1791,1807,1851,1871,1915,1939,1951,1979,2015]",63,6,2405,99,True,False
grid_offset_2,Cycle grid +2 years,grid_anchor,9,3,2,per_axis,include_incomplete,all,none,computed,,5,1939.0,1950.0,True,1634.250030135651,z_sse_per_axis,0.8671931883474596,"[1791,1807,1851,1871,1915,1939,1951,1979,2015]",63,3,884,44,True,False
